Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402,134.75,-68.75,0.0,top
C2,1uF,C_0402,134.75,-70.6,180.0,top
C3,100nF,C_1206,139.0,-66.5,0.0,top
C4,100nF,C_1206,139.0,-70.35,0.0,top
D1,White,D_0805,143.06,-73.56,0.0,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,127.0,-70.01,0.0,bottom
R1,1kΩ,R_0402,134.75,-72.45,180.0,top
R2,4.7kΩ,R_0402,134.75,-67.5,180.0,top
R3,4.7kΩ,R_0402,134.75,-66.0,0.0,top
U1,BMP390,10LGA_2X2X0p75_BOS,143.6839,-67.2601,0.0,top
U2,XC6206P332MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,138.45,-74.14,-90.0,top
